Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-06-14 13:24:03,"Legs",1h 11m,"Romanian Deadlift (Barbell)",2,95.0,5,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Romanian Deadlift (Barbell)",3,74.99999999999999,10,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Leg Extension (Machine)",1,50.0,13,0,0,"",,
2023-06-14 13:24:03,"Legs",1h 11m,"Leg Extension (Machine)",2,50.0,12,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Leg Extension (Machine)",3,50.0,11,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Seated Leg Curl (Machine)",1,25.0,15,0,0,"",,
2023-06-14 13:24:03,"Legs",1h 11m,"Seated Leg Curl (Machine)",2,25.0,15,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Seated Leg Curl (Machine)",3,25.0,15,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Standing Calf Raise (Machine)",1,60.0,11,0,0,"",,
2023-06-14 13:24:03,"Legs",1h 11m,"Standing Calf Raise (Machine)",2,60.0,12,0,0,,,
2023-06-14 13:24:03,"Legs",1h 11m,"Standing Calf Raise (Machine)",3,60.0,13,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Iso-Lateral Lat Pull-down ",1,35.0,8,0,0,"","Always perform on Saturdays",
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Iso-Lateral Lat Pull-down ",2,35.0,7,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Iso-Lateral Lat Pull-down ",3,35.0,6,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Chest-Supported T-Bar Row",1,60.0,12,0,0,"",,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Chest-Supported T-Bar Row",2,60.0,12,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"AS Chest-Supported T-Bar Row",3,60.0,12,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Incline Curl (Dumbbell)",1,15.0,9,0,0,"",,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Incline Curl (Dumbbell)",2,15.0,9,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Incline Curl (Dumbbell)",3,15.0,9,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Reverse Fly (Cable)",1,10.0,12,0,0,"",,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Reverse Fly (Cable)",2,10.0,11,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Reverse Fly (Cable)",3,10.0,10,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Hammer Curl (Dumbbell)",1,20.0,13,0,0,"",,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Hammer Curl (Dumbbell)",2,20.0,11,0,0,,,
2023-06-18 00:11:05,"Back And Biceps",1h 4m,"Hammer Curl (Dumbbell)",3,20.0,9,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Bench Press (Barbell)",1,85.0,8,0,0,"","Always perform on Sundays",
2023-06-19 00:25:52,"Chest And Triceps",54m,"Bench Press (Barbell)",2,85.0,8,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Bench Press (Barbell)",3,85.0,8,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Iso-Lateral Incline Chest Press",1,35.0,12,0,0,"",,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Iso-Lateral Incline Chest Press",2,35.0,12,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Iso-Lateral Incline Chest Press",3,35.0,12,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Selectorized Standing Lateral Raises",1,20.0,13,0,0,"",,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Selectorized Standing Lateral Raises",2,20.0,12,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"AS Selectorized Standing Lateral Raises",3,20.0,11,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Skullcrusher (Dumbbell)",1,15.0,15,0,0,"",,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Skullcrusher (Dumbbell)",2,15.0,10,0,0,,,
